Pos.,Participantes,3/25/20,4/1/20,4/8/20,4/15/20,4/23/20,4/29/20,5/8/20,5/14/20,5/21/20,5/28/20,6/4/20,6/11/20,6/18/20,6/25/20,PJ,Total,$$,ROI
1,Bru,0,5,3,0,5,0,5,4,0,5,0,0,0,5,14,46,187.21,167%
2,Fox,5,0,0,3,0,5,-1,1,0,,5,-3,5,1,13,34,112,72%
3,Lilo,0,0,0,1,1,0,3,0,0,0,0,5,0,3,14,27,69.5,-1%
4,Negro,0,0,5,0,0,-3,,4,3,3,3,,-1,0,12,26,82.5,38%
5,Pomp,3,0,0,0,3,3,1,0,0,0,-1,3,,0,13,25,46.37,-29%
6,Richi,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,14,16,16.5,-76%
7,Gordotox,0,0,0,5,0,0,0,0,0,-1,,0,-3,0,13,14,27.72,-57%
8,Razor,0,0,0,,,0,0,-3,5,0,1,1,0,-3,12,13,45,-25%
9,Jaguar,0,0,0,0,-1,1,0,0,0,1,,,,,10,11,0,-100%
9,Pucky L,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,14,11,0,-100%
11,Jimmy,0,0,0,0,0,,0,0,-1,0,0,-1,0,-1,13,10,0,-100%
12,Cerba,0,3,0,0,-3,-1,-3,0,1,0,-3,0,1,0,14,9,0,-100%
13,Chinto,,,,,,,,,,,0,,,,1,1,0,-100%
14,Yimiyi,,,,,,,,,-3,,,,0,0,3,0,0,-100%
