Pos.,Participantes,7/2/20,7/9/20,7/16/20,7/23/20,7/30/20,8/6/20,8/13/20,8/20/20,8/27/20,PJ,Total,$$,ROI
1,Pomp,0,5,0,1,5,0,-1,5,0,9,24,112.0,149%
2,Lilo,3,1,5,3,-1,3,0,-1,-1,9,21,79.9,78%
3,Razor,5,-1,0,0,0,1,0,1,5,9,20,80.5,79%
4,Bru,0,0,3,0,3,0,5,0,0,9,20,70.0,56%
5,Fox,-1,3,0,0,-1,5,0,0,3,9,18,64.3,43%
6,Jimmy,0,0,,5,0,0,1,0,0,8,14,35,-13%
7,Cerba,,0,1,0,0,0,-1,3,1,8,12,16.5,-59%
8,Pucky L,0,,0,0,1,,3,-1,-1,7,9,16.5,-53%
9,Gordotox,1,0,-1,0,0,-1,0,0,0,9,8,0,-100%
10,Richi,0,0,0,-1,0,0,-1,0,0,9,7,0,-100%
11,Negro,0,,0,,0,,0,0,-1,6,5,0,-100%
12,Yimiyi,-1,0,,,,,0,,0,4,3,0,-100%
