Pos.,Participantes,1/7/21,1/14/21,1/21/21,1/28/21,2/4/21,2/11/21,2/18/21,2/25/21,3/4/21,3/11/21,3/18/21,3/25/21,PJ,Total,$$,ROI
1,Jimmy,0,5,-1,5,0,3,3,-1,0,-1,1,5,12,31,178,197%
2,Richi,0,3,1,-1,,0,0,5,0,5,5,0,11,29,113,105%
3,Pomp,5,0,5,-1,0,5,0,0,1,1,0,1,12,29,109.5,83%
4,Bru,1,0,0,0,5,1,0,0,5,0,0,-1,12,23,73,22%
5,Razor,0,0,3,0,3,-1,0,3,3,0,0,-1,12,22,54,-10%
6,Lilo,0,0,0,0,1,0,5,0,0,0,-1,0,12,17,36.5,-39%
7,Gordotox,,,,3,0,0,-1,1,0,,0,3,8,14,51.5,29%
8,Cerba,-1,0,0,0,0,0,0,0,0,0,3,0,12,14,15,-75%
9,Pucky L,0,-1,0,1,-1,0,0,0,-1,3,-1,0,12,12,17,-72%
10,Negro,0,1,0,0,,0,1,0,-1,0,0,0,11,12,10,-82%
11,Fox,3,0,0,0,0,,,-1,0,,0,0,9,11,13.5,-70%
