Pos.,Participantes,1/6/22,1/13/22,1/20/22,1/27/22,2/3/22,2/10/22,2/17/22,2/24/22,3/3/22,3/10/22,3/17/22,3/24/22,3/31/22,PJ,Total,$$,ROI
1,Pomp,0,-1,0,3,5,0,0,3,5,5,0,5,0,13,38,140,115%
2,Jimmy,1,,5,5,3,3,0,0,-1,0,1,0,5,12,34,128,113%
3,Fox,0,1,-1,-1,0,1,5,0,3,1,5,1,,12,27,86.5,44%
4,Negro,3,5,0,0,-1,0,3,0,0,0,0,0,3,13,26,47,-28%
5,Bru,-1,3,0,0,0,5,,0,0,0,-1,3,0,12,21,54,-10%
6,Lilo,0,0,-1,,1,-1,0,5,,0,3,,1,10,18,63.5,27%
7,Razor,0,0,3,0,0,0,1,1,0,0,0,0,0,13,18,25,-62%
8,Pucky L,5,0,0,0,0,0,,0,1,-1,0,-1,0,12,16,33,-45%
9,Cerba,0,0,1,0,0,0,-1,-1,0,3,0,0,0,13,15,18.5,-72%
10,Gordotox,,0,0,1,0,0,0,0,,0,0,0,-1,11,11,5,-91%
